d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__staphylococcus,d5__anaerococcus,d5__streptococcus,d5__finegoldia,d5__peptoniphilus,d5__prevotella,d5__veillonella,d5__atopobium,d5__ezakiella,d4__prevotellaceaeother,d5__megasphaera,d5__fastidiosipila,d5__ralstonia,d5__corynebacterium,d5__granulicatella,d5__porphyromonas,d5__dialister,d5__shuttleworthia,d4__bifidobacteriaceaeother,d5__mycoplasma,d5__ureaplasma,d5__escherichiashigella,d5__aerococcus,d4__corynebacteriaceaeother,d5__parvimonas,d5__fusobacterium,d5__gemella,d5__prevotella6,d5__brevibacterium,d4__familyxiother,d5__campylobacter,d5__peptostreptococcus,d5__neisseria,d5__acinetobacter,d5__facklamia,d5__chlamydia,d5__treponema2
0.068005228,0.064338102,0.119163459,0.058020478,0.08655871,0.0243991,0.015576211,0.007152712,0.130600537,0.004756372,0.007479486,0.004502215,0.022692615,0.002868347,0.008423499,0.258659502,0.002468957,0.002251107,0.00279573,0.005300995,0.001234478,0.001488636,0.002251107,0.000435698,0.000653547,0.000181541,0.035799869,0.000907705,0.000580931,0.000617239,0.000617239,0.014886355,0.000435698,0.000907705,7.26E-05,0.000108925,0.000653547,0.000435698,0,0.000145233,0.000217849
0.069545937,0.391231029,0.010430329,0,0.014177753,0.130160515,0.017487977,0.098994441,0.028199363,0.005059022,0.008681531,0,0.067859597,0.000374742,0,0.00212354,0,0.029136219,0.001842483,0.020454687,0.001498969,0,9.37E-05,0,0.003466367,0.003029167,0.001342827,0.005621135,0,0,0,0.008275561,0.008743989,0.003029167,0.0002186,3.12E-05,0,0,0.00212354,0,0
0.001866378,0.034325128,0.039166892,0.216418718,0.047903706,0.288639437,0.002218015,0.129131728,0.096510684,0.00857452,0.022721125,0.002245064,0.022721125,0.000892616,0,0.002380308,0,0.009737625,0.001460644,0.008601569,0.002001623,0,0.000108196,0.00078442,0.003083581,0.011820395,0.001649986,0.000108196,0.007952394,0,0.00102786,0.000297539,0,0.001731133,8.11E-05,0.000811469,0,0,0.000297539,0,0
0.007434603,0.003900872,0.123083983,0.002753557,0.000550711,0.122625057,0.001422671,0.063653052,0.101284993,0.046994034,0.000413034,0.017072051,0.027076641,0.084121156,0,0.000137678,0.053189536,4.59E-05,0,0.110142267,0.013171179,0,0.000504819,0.009912804,0.00422212,0.004268013,0.019458467,0,4.59E-05,0,0.004405691,0.065488756,4.59E-05,0.001330886,0.009729234,0.013584213,0,9.18E-05,4.59E-05,0,0
0.108965426,0.076713783,0.063198177,0.087386909,0.014057557,0.134603048,0.034408388,0.006293273,0.080463203,0.024011768,0.006414936,0.003417612,0.003428673,0.00332913,0.003229588,0.004059106,0.002466432,0.001515252,0.001216626,0.002256288,0.00046453,0.011624306,0.001382529,0.000254385,0.000110602,0.198298936,0.001006481,0.000641494,0.00092906,0.000442409,0.000276506,0.000763156,0.000420289,0.002953082,0.000210144,0.000597253,5.53E-05,0.001758577,3.32E-05,0,0
0.094980642,0.07227784,0.030675128,0.253121349,0.02274862,0.010996312,0.012302124,0.418982383,0.005658519,0.007330874,0.002428352,0.006185425,0.011546127,0.002542897,0.001191267,0.002359625,0.003001077,0.000939268,0.001489084,0.001305812,0.001076722,0.001076722,0.003092713,0.000183272,0.000801814,0.000274908,0.000320726,0.002061808,0.000343635,0.000687269,0.000160363,0.000206181,0.002771987,0.000251999,0.000595634,2.29E-05,0.000274908,0.000595634,0,0,9.16E-05
0.429015985,0.122379455,0.0610587,0.060894916,0.026270964,0.01408543,0.046842243,0.030660377,0.013692348,0.025255503,0.004651468,0.003210168,0.039668501,0.0014413,0.00307914,0.00370152,0.001899895,0.001932652,0.001768868,0.004029088,0.003111897,0.015493973,0.000851677,0.001736111,0.004946279,0.000524109,0.001212002,0.017459382,0.000491352,0.003865304,0.000982704,0.003668763,0.000556866,0.000884434,0.001408543,0.00750131,0,0.000589623,0.000131027,3.28E-05,3.28E-05
0.411549629,0.092196294,0.088539986,0.027493996,0.087070294,0.137290748,0.019285228,0.01265369,0.007205076,0.012976306,0.008818152,0.005878768,0.005986307,0.00437323,0.001935692,0.005341076,0.00390723,0.003261999,0.002365846,0.002150769,0.001326307,0.003835538,0.004875076,0.000430154,0.001541384,0.002724307,0.001326307,0.002652615,0.001935692,0.000466,0.000322615,0.000250923,0.001613077,0.001003692,0.000215077,0.000107538,0.000681077,0.000322615,0,0,0
0.153567969,0.349693252,0.093432354,0.067355505,0.018069099,0.033981272,0.026632225,0.009066839,0.02271876,0.027484663,0.010552147,0.021065547,0.009686794,0.009790119,0.052696158,0.006302874,0.001821117,0.00293187,0.005515015,0.001614466,0.00293187,0.00329351,0.000891185,0.004701324,0.002776881,0.000490798,0.001369067,0.000723281,0.001381983,0.000929932,0.002699387,0.000309977,0.003396836,0.005979981,0.001020342,0.000400387,6.46E-05,0.001343235,6.46E-05,3.87E-05,0
0.305814991,0.267259196,0.083774719,0.141935921,0.038781664,0.00943002,0.018848747,0.044959174,0.01008504,0.005895174,0.003354151,0.005714479,0.003726834,0.003591313,0.002179633,0.001502027,0.002349035,0.001490734,0.001400386,0.000824421,0.001434267,0.001874711,0.001174517,0.000609846,0.000304923,0.000711487,0.001682722,0.000711487,0.00032751,0.001197104,0.003828475,0.000609846,0.00111805,0.003004054,9.03E-05,0.000237162,0.000248456,0.001377799,3.39E-05,0,0
0.232789233,0.087542955,0.076460481,0.022136312,0.193127148,0.103006873,0.053235968,0.029982818,0.012142039,0.010738832,0.006071019,0.006271478,0.040578465,0.003235968,0.003808706,0.002605956,0.014719359,0.006185567,0.005011455,0.013688431,0.004581901,0.005899198,0.001517755,0.001804124,0.00045819,0.000486827,0.000744559,0.001890034,0.000887743,0.000572738,0.00312142,0.001260023,0.004037801,0.004037801,0.000658648,0.000286369,0.000372279,0.000773196,0.001546392,8.59E-05,2.86E-05
